/TTime               ,Tmax_coil1          ,Tmax_coil2          ,Tmax_coil3          ,Tmax_coil4          ,coil1_I             ,coil3_I             ,R1_I                ,R2_I                ,coil1_V             ,coil2_V             ,coil3_V             ,coil4_V             ,R_coil1             ,R_coil2             ,R_coil3             ,R_coil4             ,QV_coil1            ,QV_coil2            ,QV_coil3            ,QV_coil4            
0.48                ,5.7738897756        ,6.34645112365       ,6.38061611075       ,5.98674757882       ,103.243640336       ,103.256212231       ,103.243640336       ,103.256212231       ,-0.912841106694     ,-183.506903808      ,-183.551675324      ,-0.903266389487     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.49                ,5.81131931329       ,6.39074485328       ,6.42639683566       ,6.03025178553       ,103.112633404       ,103.125130479       ,103.112633404       ,103.125130479       ,-0.893779382096     ,-183.312024916      ,-183.365544666      ,-0.873124870856     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.5                 ,5.84855878011       ,6.43485961765       ,6.47175442737       ,6.07354150233       ,102.981842508       ,102.994266563       ,102.981842508       ,102.994266563       ,-0.898449584343     ,-183.098392428      ,-183.146343825      ,-0.876406923714     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.51                ,5.88560971516       ,6.47854900304       ,6.51669748673       ,6.11658694565       ,102.851229589       ,102.863613539       ,102.851229589       ,102.863613539       ,-0.91143797125      ,-182.868422906      ,-182.91369733       ,-0.893480959981     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.52                ,5.92248398282       ,6.52182985879       ,6.56123573472       ,6.15937438953       ,102.720866306       ,102.733206998       ,102.720866306       ,102.733206998       ,-0.908599958829     ,-182.660864159      ,-182.708894442      ,-0.883124187537     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.53                ,5.95916310438       ,6.56470922247       ,6.605380934         ,6.20190996311       ,102.590686852       ,102.602995973       ,102.590686852       ,102.602995973       ,-0.920551564067     ,-182.433145154      ,-182.47304131       ,-0.904133157875     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.54                ,5.99567074406       ,6.60720063921       ,6.64913798405       ,6.24417390542       ,102.46072682        ,102.473005748       ,102.46072682        ,102.473005748       ,-0.924736216568     ,-182.214665723      ,-182.256501159      ,-0.906197058664     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.55                ,6.03199142999       ,6.64931473149       ,6.69251866015       ,6.28617622137       ,102.330948269       ,102.343215249       ,102.330948269       ,102.343215249       ,-0.937790917921     ,-181.979339255      ,-182.023781125      ,-0.92476731551      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.56                ,6.06811962634       ,6.69106905031       ,6.73553330082       ,6.32791576816       ,102.201412049       ,102.213664932       ,102.201412049       ,102.213664932       ,-0.938166590948     ,-181.762702004      ,-181.815174416      ,-0.919628293528     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.57                ,6.10402048023       ,6.73247331696       ,6.77819660154       ,6.36940598257       ,102.072084558       ,102.084300568       ,102.072084558       ,102.084300568       ,-0.9434212163       ,-181.543351499      ,-181.596820412      ,-0.924533090514     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.58                ,6.13968250303       ,6.77353278534       ,6.82051601543       ,6.41065059792       ,101.943043351       ,101.955155334       ,101.943043351       ,101.955155334       ,-0.929107283564     ,-181.354827651      ,-181.403579334      ,-0.904691566827     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.59                ,6.17509550241       ,6.81423726917       ,6.86249420588       ,6.45165709202       ,101.814116079       ,101.826190282       ,101.814116079       ,101.826190282       ,-0.951570809482     ,-181.11469831       ,-181.160040093      ,-0.935438853077     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.6                 ,6.21028342648       ,6.85460707831       ,6.90413463696       ,6.49242144083       ,101.685412278       ,101.697472625       ,101.685412278       ,101.697472625       ,-0.9534122756       ,-180.899298648      ,-180.94839744       ,-0.934711781415     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.61                ,6.24524177327       ,6.89465336049       ,6.94545012317       ,6.5329543883        ,101.55694039        ,101.568931653       ,101.55694039        ,101.568931653       ,-0.950329754443     ,-180.697540305      ,-180.744303402      ,-0.926713269353     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.62                ,6.2799666416        ,6.93437667163       ,6.986449375         ,6.57326499407       ,101.428615766       ,101.440593219       ,101.428615766       ,101.440593219       ,-0.965684816837     ,-180.465845634      ,-180.508716295      ,-0.950547924442     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.63                ,6.31448180403       ,6.97378892303       ,7.02713447326       ,6.61334914081       ,101.300538772       ,101.31246976        ,101.300538772       ,101.31246976        ,-0.959676369093     ,-180.26536706       ,-180.312923496      ,-0.934943937853     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.64                ,6.34877064117       ,7.01289324773       ,7.06751702269       ,6.6532242205        ,101.172627092       ,101.184530895       ,101.172627092       ,101.184530895       ,-0.970148091274     ,-180.043818183      ,-180.084442225      ,-0.952329199427     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.65                ,6.38285504406       ,7.05169703859       ,7.10756607435       ,6.69288321296       ,101.04491531        ,101.056795778       ,101.04491531        ,101.056795778       ,-0.973664354974     ,-179.829694916      ,-179.871992221      ,-0.95402210019      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.66                ,6.41673188705       ,7.09018585005       ,7.14726841763       ,6.732331368         ,100.917341907       ,100.929229974       ,100.917341907       ,100.929229974       ,-0.993213482491     ,-179.589055546      ,-179.632215802      ,-0.983315185556     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.67                ,6.45042063147       ,7.12834392466       ,7.18666024192       ,6.77156075833       ,100.790080995       ,100.801895967       ,100.790080995       ,100.801895967       ,-0.973681919306     ,-179.407329042      ,-179.454781195      ,-0.950658794264     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.68                ,6.48389193328       ,7.16619481735       ,7.22574860271       ,6.81058744212       ,100.662906885       ,100.674740996       ,100.662906885       ,100.674740996       ,-1.00129577946      ,-179.160728711      ,-179.208527166      ,-0.987109626883     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.69                ,6.51717126577       ,7.2037532477        ,7.26453326676       ,6.84940265206       ,100.536051828       ,100.547804308       ,100.536051828       ,100.547804308       ,-0.978577986395     ,-178.985031607      ,-179.033472834      ,-0.952726761539     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.7                 ,6.55023613885       ,7.24100542657       ,7.30302007169       ,6.8880195377        ,100.409296797       ,100.421033146       ,100.409296797       ,100.421033146       ,-1.00129038035      ,-178.749961048      ,-178.790054284      ,-0.986973495155     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.71                ,6.58311598741       ,7.27796477388       ,7.34121372648       ,6.92642676377       ,100.282747577       ,100.294464336       ,100.282747577       ,100.294464336       ,-1.00411601159      ,-178.53678439       ,-178.581814171      ,-0.986381462236     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.72                ,6.61580418968       ,7.31464047059       ,7.37948672718       ,6.96465463294       ,100.156419951       ,100.168100422       ,100.156419951       ,100.168100422       ,-1.00016994487      ,-178.33766426       ,-178.384494881      ,-0.975206106524     ,0                   ,0                   ,4.76359482658E-05   ,0                   ,0                   ,0                   ,0.0127849109655     ,0                   
0.73                ,6.64829161914       ,7.35104839637       ,7.41765631322       ,7.00271361487       ,100.030224348       ,100.041892445       ,100.030224348       ,100.041892445       ,-1.01780834192      ,-178.106691608      ,-178.144935629      ,-1.00652182259      ,0                   ,0                   ,4.76359482658E-05   ,0                   ,0                   ,0                   ,0.0127849109655     ,0                   
0.74                ,6.68060810969       ,7.3871976419        ,7.45557379561       ,7.0405778591        ,99.9042674988       ,99.9158935314       ,99.9042674988       ,99.9158935314       ,-1.01165550108      ,-177.909280711      ,-177.953792888      ,-0.989772683708     ,0                   ,0                   ,4.76359482658E-05   ,0                   ,0                   ,0                   ,0.0127849109655     ,0                   
0.75                ,6.71273159125       ,7.42308666678       ,7.5353618697        ,7.07824659647       ,99.778471123        ,99.790079304        ,99.778471123        ,99.790079304        ,-1.0207583543       ,-177.69261582       ,-177.733067777      ,-1.00290803117      ,0                   ,0                   ,0.000102776461464   ,0                   ,0                   ,0                   ,0.0275839561719     ,0                   
0.76                ,6.74470309945       ,7.45913111838       ,8.0547730955        ,7.11579470635       ,99.6528479656       ,99.6644429232       ,99.6528479656       ,99.6644429232       ,-1.02862869226      ,-177.473475405      ,-177.514911592      ,-1.01376701144      ,0                   ,6.41374914779E-05   ,0.000439212042478   ,0                   ,0                   ,0.0172137250952     ,0.117879187095      ,0                   
0.77                ,6.77656310882       ,7.51292354405       ,8.68302294749       ,7.15341534182       ,99.52740505         ,99.5389775507       ,99.52740505         ,99.5389775507       ,-1.03571235774      ,-177.253816578      ,-177.301666284      ,-1.01999416079      ,0                   ,0.000117499045305   ,0.00116418475648    ,0                   ,0                   ,0.0315353191749     ,0.314436419986      ,0                   
0.78                ,6.80853147909       ,7.75617093337       ,9.48190342525       ,7.19242286492       ,99.4021876199       ,99.4137174769       ,99.4021876199       ,99.4137174769       ,-1.03264663429      ,-177.051202529      ,-177.099573119      ,-1.01541748078      ,0                   ,0.000700133729316   ,0.00422577180032    ,0                   ,0                   ,0.187907404369      ,1.15181498882       ,0                   
0.79                ,6.84091691655       ,7.81091504281       ,10.6259175053       ,7.23579906435       ,99.2772238318       ,99.2884211875       ,99.2772238318       ,99.2884211875       ,-1.0257424438       ,-176.860648972      ,-176.89911546       ,-1.00910769962      ,0                   ,0.00107720131058    ,0.0109877803273     ,0                   ,0                   ,0.289107771526      ,2.9712456744        ,0                   
0.8                 ,6.87435865245       ,7.87682497015       ,12.9002258827       ,7.29138079998       ,99.1525885758       ,99.1621536364       ,99.1525885758       ,99.1621536364       ,-1.03111960502      ,-176.639945188      ,-176.65188382       ,-1.04783734387      ,0                   ,0.00240412479723    ,0.0301016776891     ,0                   ,0                   ,0.645237947423      ,8.27484312585       ,0                   
